,fighter_1,weight_1,reach_1,age_1,slpm_1,sapm_1,td_avg_1,sub_avg_1,strk_acc_1,strk_def_1,td_acc_1,td_def_1,wins_1,losses_1,fighter_2,weight_2,reach_2,age_2,slpm_2,sapm_2,td_avg_2,sub_avg_2,strk_acc_2,strk_def_2,td_acc_2,td_def_2,wins_2,losses_2,result,SUB_OVR,KO_OVR
923,EvanElder,155,10,26,3.78,5.42,0.59,0.0,48,43,12,28,7,2,GenaroValdez,155,72,31,3.96,7.63,2.5,0.6,32,47,44,40,10,2,1,0,0
924,TysonNam,125,68,40,3.49,5.44,0.0,0.0,32,63,0,0,21,13,AzatMaksum,125,70,28,0.0,0.0,0.0,0.0,0,0,0,0,16,0,0,0,0
925,AlexanderMunoz,155,72,33,3.96,5.49,3.0,0.0,43,52,39,0,6,2,CarlDeaton,155,69,34,0.1,0.2,0.0,0.0,8,75,0,33,17,6,1,0,0
926,AshleeEvans-Smith,135,67,36,4.54,4.69,1.1,0.0,34,55,23,66,6,5,AilinPerez,135,66,29,1.62,1.52,1.52,0.0,47,31,33,71,7,2,-5,0,0
927,TomAspinall,256,78,30,7.41,2.87,4.0,2.0,65,64,0,0,12,3,MarcinTybura,249,78,38,3.55,3.31,1.39,0.1,48,55,33,79,24,7,1,0,1
928,MollyMcCann,125,62,33,5.72,4.9,1.67,0.5,50,63,35,44,13,5,JulijaStoliarenko,125,66,30,2.75,4.61,0.7,1.2,41,44,25,62,10,8,-5,0,0
929,NathanielWood,145,69,30,6.34,4.42,1.81,0.6,48,57,54,73,19,5,AndreFili,145,11,33,3.83,4.03,2.38,0.3,37,52,49,69,22,9,1,0,0
930,PaulCraig,185,76,36,2.44,2.88,1.81,1.7,46,47,20,50,16,6,AndreMuniz,185,78,33,2.12,1.74,2.95,1.7,49,54,36,41,23,5,1,0,1
931,JaiHerbert,155,77,35,2.55,2.92,0.25,0.0,42,45,25,52,12,4,FaresZiam,155,75,26,2.52,1.7,0.96,0.0,44,66,25,70,13,4,0,0,0
932,LeroneMurphy,145,73,32,3.58,2.64,0.83,0.6,48,55,37,43,12,0,JoshCulibao,145,10,29,2.96,3.13,0.0,0.5,43,59,0,82,11,1,1,0,0
933,DaveyGrant,135,69,38,4.78,3.89,1.41,0.2,44,54,42,62,15,6,DanielMarcos,135,69,30,6.01,3.05,0.0,0.0,53,71,0,88,14,0,0,0,0
934,DannyRoberts,170,74,36,3.08,3.5,0.26,0.3,40,51,10,57,18,7,JonnyParsons,170,69,32,3.53,5.2,0.0,0.0,38,55,0,50,8,2,0,0,1
935,MarcDiakiese,155,10,30,2.73,2.63,3.33,0.0,40,53,43,67,16,6,JoelAlvarez,155,77,30,3.44,3.68,0.0,1.2,44,49,0,0,19,3,0,1,0
936,MickParkin,265,79,28,3.59,8.21,5.38,7.7,53,30,0,0,6,0,JamalPogues,205,77,28,3.36,3.56,4.0,0.0,49,58,50,66,10,3,1,0,0
937,MakhmudMuradov,185,75,33,4.35,2.72,0.7,0.2,42,60,37,76,25,8,BryanBarberena,170,72,34,5.81,4.83,0.15,0.3,48,44,25,54,18,10,1,0,0
938,KetlenVieira,135,68,32,3.24,4.16,1.36,0.4,41,51,40,92,13,3,PannieKianzad,135,66,32,5.32,4.12,0.4,0.1,49,53,30,80,17,6,-5,0,0
939,ChrisDuncan,155,10,30,4.69,4.69,4.73,0.0,52,41,36,0,10,1,YanalAshmouz,155,68,28,2.0,1.6,2.0,0.0,75,71,0,0,7,0,1,0,0
940,ShaunaBannon,115,65,30,0.0,0.0,0.0,0.0,0,0,0,0,5,0,BrunaBrasil,115,65,30,3.19,4.23,1.74,0.0,77,42,66,45,8,3,-5,0,0
941,JafelFilho,125,68,30,1.46,1.92,1.15,1.7,36,46,28,55,14,3,DanielBarez,125,66,35,3.47,5.13,5.0,2.0,50,53,31,0,16,5,1,1,0
