,fighter_1,weight_1,reach_1,age_1,slpm_1,sapm_1,td_avg_1,sub_avg_1,strk_acc_1,strk_def_1,td_acc_1,td_def_1,wins_1,losses_1,fighter_2,weight_2,reach_2,age_2,slpm_2,sapm_2,td_avg_2,sub_avg_2,strk_acc_2,strk_def_2,td_acc_2,td_def_2,wins_2,losses_2,result,SUB_OVR,KO_OVR
87,MackenzieDern,115,63,28,3.64,3.57,0.51,2.3,38,61,10,0,11,1,MarinaRodriguez,115,65,34,4.89,3.24,0.28,0.1,48,54,33,62,14,1,-2,0,0
88,RandyBrown,170,78,31,3.72,2.79,0.98,0.7,47,53,46,71,13,4,JaredGooden,170,77,28,5.04,7.55,0.96,0.0,42,49,0,83,18,6,1,0,0
89,TimElliott,125,66,35,3.35,2.49,4.01,1.1,45,59,49,58,18,11,MatheusNicolau,125,66,28,3.79,2.83,1.93,1.4,52,67,44,0,16,3,0,0,0
90,SabinaMazo,125,70,24,6.56,3.91,0.81,0.2,44,60,80,66,9,2,MariyaAgapova,125,68,24,3.7,4.15,1.23,0.6,50,47,66,33,9,2,-2,0,0
91,ChrisGutierrez,145,67,30,4.3,2.45,0.57,0.2,57,59,60,73,16,3,FelipeColares,135,69,27,2.15,4.22,2.0,0.8,51,38,23,38,10,2,1,0,0
92,AlexandrRomanov,262,75,31,3.68,1.47,4.75,1.8,44,43,61,20,14,0,JaredVanderaa,260,80,29,5.59,5.05,0.53,0.0,49,43,0,0,12,5,1,0,1
93,CharlesRosa,145,69,35,3.14,3.69,1.78,1.1,36,48,35,37,14,5,DamonJackson,145,11,33,2.46,3.63,1.14,2.7,35,45,20,35,18,4,0,0,0
94,LoopyGodinez,115,61,28,2.67,2.07,3.0,0.0,54,64,33,85,5,1,SilvanaGomezJuarez,115,65,37,0.0,0.0,0.0,0.0,0,0,0,0,10,2,-2,0,0
95,SteveGarcia,155,75,29,4.31,2.52,0.61,0.6,55,36,25,0,11,4,CharlieOntiveros,185,78,30,0.33,4.18,0.0,0.0,40,19,0,0,11,7,1,0,1
96,AspenLadd,145,66,26,5.22,4.84,2.45,1.2,55,46,75,66,9,1,NormaDumont,145,67,31,4.98,2.86,1.79,0.0,53,67,40,0,6,1,-2,0,0
97,AndreiArlovski,240,77,42,3.62,2.95,0.45,0.2,44,57,36,78,31,20,CarlosFelipe,245,75,26,4.88,5.62,0.0,0.0,46,50,0,72,11,1,1,0,0
98,JimMiller,155,71,38,2.65,2.92,1.63,1.8,40,59,43,47,32,16,ErickGonzalez,155,11,29,0.0,0.0,0.0,0.0,0,0,0,0,14,5,1,0,1
99,ManonFiorot,125,65,31,8.0,1.98,1.75,0.0,50,80,0,0,7,1,MayraBuenoSilva,125,66,30,4.06,4.89,0.0,1.6,57,47,0,73,7,1,-2,0,0
100,JulianMarquez,185,72,31,4.2,3.13,0.0,3.2,45,55,0,53,9,2,JordanWright,185,77,30,7.13,7.49,0.0,0.0,60,39,0,0,12,1,-2,0,0
101,AndrewSanchez,185,74,33,4.48,5.05,1.92,0.0,42,51,31,0,13,6,BrunoSilva,185,74,32,4.0,0.21,0.0,0.0,73,0,0,0,20,6,0,0,1
102,DannyRoberts,170,74,34,3.41,3.08,0.18,0.4,44,55,6,53,17,5,RamazanEmeev,170,10,34,2.5,1.98,2.33,0.5,45,66,29,66,20,4,1,0,0
103,LoopyGodinez,125,61,28,2.65,1.77,6.24,0.8,58,66,53,85,6,1,LuanaCarolina,125,69,28,4.8,3.27,0.0,1.6,51,46,0,90,7,2,-2,0,0
104,NateLandwehr,145,72,33,7.02,7.67,0.0,0.0,50,51,0,85,14,4,LudovitKlein,145,72,26,3.32,3.69,3.69,0.0,54,45,57,0,17,3,1,1,0
105,DanaaBatgerel,135,70,32,5.78,2.65,0.0,0.0,39,58,0,57,9,2,BrandonDavis,135,10,31,4.65,4.33,0.71,0.1,35,60,45,56,10,8,1,0,1
106,IstelaNunes,115,66,29,0.0,0.0,0.0,0.0,0,0,0,0,7,1,ArianeCarnelossi,115,61,29,5.22,6.03,0.0,0.0,44,47,0,25,13,2,-2,0,0
107,PauloCosta,205,72,30,7.03,6.7,0.0,0.0,57,50,0,80,13,1,MarvinVettori,205,74,28,3.88,3.04,2.24,0.7,43,63,47,78,17,5,0,0,0
108,GrantDawson,155,10,27,3.4,2.1,3.44,1.6,48,51,34,40,17,1,RickyGlenn,155,70,32,4.39,4.27,0.66,0.3,42,53,13,66,22,6,-2,0,0
109,Jessica-RoseClark,135,64,34,4.68,3.98,1.01,0.4,51,60,55,73,10,6,JoselyneEdwards,135,70,26,4.2,3.83,0.5,0.5,53,46,16,37,10,3,-2,0,0
110,AlexCaceres,145,10,33,4.1,2.82,0.57,0.8,50,65,78,64,18,12,SeungWooChoi,145,74,29,3.31,2.55,1.0,0.0,41,46,57,66,10,3,1,1,0
111,FranciscoTrinaldo,170,70,43,3.08,2.64,1.03,0.5,43,59,45,60,26,8,DwightGrant,170,76,37,3.36,2.17,0.5,0.0,36,64,0,71,11,3,1,0,0
112,NicolaeNegumereanu,205,78,27,2.73,5.73,0.5,0.0,37,26,20,57,10,1,IkeVillanueva,205,73,37,4.28,7.88,0.79,0.0,41,36,0,0,18,12,1,0,1
113,JunyongPark,185,10,30,4.37,3.17,3.02,0.6,47,58,57,46,13,4,GregoryRodrigues,185,75,29,4.91,3.18,2.6,0.0,48,65,50,0,10,3,0,0,1
114,MasonJones,155,10,26,7.33,5.31,2.02,0.0,40,50,42,76,10,1,DavidOnama,155,11,27,0.0,0.0,0.0,0.0,0,0,0,0,8,0,1,0,0
115,TabathaRicci,115,61,26,2.13,0.5,0.0,0.0,18,51,0,0,5,1,MariaOliveira,115,69,25,2.62,1.48,0.0,0.0,42,23,0,0,12,4,-2,0,0
116,JamiePickett,185,80,33,2.87,5.35,1.44,0.4,55,44,40,37,11,6,LaureanoStaropoli,185,71,28,3.64,3.85,0.8,0.0,33,54,40,52,9,4,1,0,0
117,KhamaWorthy,155,11,35,4.22,3.86,0.0,0.8,47,46,0,57,16,8,JaiHerbert,155,77,33,1.33,2.66,0.0,0.0,29,43,0,30,10,3,0,0,1
118,JeffMolina,125,69,24,8.83,6.63,0.0,0.0,47,55,0,16,9,2,DanielDaSilva,125,70,25,0.0,0.0,0.0,0.0,0,0,0,0,11,1,1,0,1
119,LivinhaSouza,115,63,30,2.06,3.38,2.4,1.2,45,62,44,40,14,3,RandaMarkos,115,63,36,2.87,3.27,1.2,0.2,42,58,28,52,10,12,-2,0,0
120,JonathanMartinez,135,70,27,4.27,3.81,0.48,0.0,46,58,37,63,13,4,ZviadLazishvili,135,69,30,0.0,0.0,0.0,0.0,0,0,0,0,13,0,1,0,0
121,JanBlachowicz,205,78,38,3.59,2.79,1.18,0.2,49,53,53,65,28,8,GloverTeixeira,205,76,42,3.75,3.84,2.04,1.0,47,54,40,60,32,7,0,1,0
122,PetrYan,135,67,28,5.99,3.55,2.14,0.1,52,62,66,90,15,2,CorySandhagen,135,11,29,6.32,4.05,0.74,0.6,47,59,44,65,14,3,1,0,0
123,IslamMakhachev,155,10,30,2.24,0.77,3.31,1.0,58,70,65,88,20,1,DanHooker,155,75,31,4.95,4.66,0.91,0.2,48,52,36,80,21,10,1,1,0
124,AlexanderVolkov,250,80,33,4.84,2.88,0.57,0.2,57,54,70,67,33,9,MarcinTybura,249,78,36,3.63,3.31,1.67,0.1,50,55,45,82,22,6,1,0,0
125,LiJingliang,170,71,33,4.52,3.65,1.28,0.0,42,59,39,59,18,6,KhamzatChimaev,170,75,27,9.03,0.1,4.67,3.1,72,66,75,0,9,0,0,1,0
126,MagomedAnkalaev,205,75,29,3.41,1.78,1.18,0.0,53,65,33,85,15,1,VolkanOezdemir,205,75,32,5.03,4.24,0.36,0.0,45,55,20,80,17,5,1,0,0
127,AmandaRibas,125,66,28,4.25,1.78,2.31,1.6,44,71,58,85,10,2,VirnaJandiroba,115,64,33,2.65,2.92,2.5,1.9,46,53,53,75,17,2,-2,0,0
128,RicardoRamos,145,72,26,3.1,3.6,3.08,0.7,41,57,58,73,15,3,ZubairaTukhugov,145,68,30,2.54,2.53,2.54,0.0,38,63,46,0,19,5,0,0,0
129,AlbertDuraev,185,11,32,0.57,0.29,4.31,4.3,66,83,0,0,14,3,RomanKopylov,185,75,30,2.64,3.07,0.0,0.0,38,63,0,66,8,1,1,0,0
130,ElizeuZaleskidosSantos,170,11,35,4.05,3.07,0.57,0.5,39,59,17,52,22,7,BenoitSaintDenis,170,11,26,0.0,0.0,0.0,0.0,0,0,0,0,8,0,1,0,0
131,ShamilGamzatov,205,76,31,4.27,2.13,0.0,0.0,46,58,0,50,14,0,MichalOleksiejczuk,205,74,26,4.45,3.24,0.69,0.0,52,67,40,40,15,4,0,0,1
132,MakwanAmirkhani,145,10,33,1.4,2.52,3.61,1.1,43,52,40,57,16,6,LeroneMurphy,145,73,30,2.86,2.07,0.87,0.9,42,63,33,41,10,0,0,0,1
133,HuYaozong,185,72,26,4.43,5.23,0.0,0.7,52,38,0,0,3,2,AndrePetroski,185,73,30,3.48,2.35,4.55,1.1,57,40,44,0,6,2,0,1,0
134,TagirUlanbekov,125,70,30,3.07,3.13,5.0,0.0,37,58,45,50,13,1,AllanNascimento,125,69,30,7.0,5.4,1.0,0.0,68,44,10,0,17,5,1,0,0
135,KamaruUsman,170,76,34,4.63,2.4,3.27,0.1,54,57,48,0,19,1,ColbyCovington,170,11,33,4.12,2.86,4.61,0.1,38,55,50,75,16,2,1,0,0
136,RoseNamajunas,115,65,29,4.13,3.99,1.89,0.8,40,60,53,50,11,4,ZhangWeili,115,63,32,6.36,4.42,1.24,0.5,45,53,23,0,21,2,-2,0,0
137,FrankieEdgar,135,68,40,3.7,2.71,2.28,0.3,39,66,31,65,23,9,MarlonVera,135,70,29,3.91,4.08,0.88,1.3,50,51,42,69,17,7,0,0,1
138,ShaneBurgos,145,11,30,7.29,6.11,0.27,0.1,49,58,0,89,13,3,BillyQuarantillo,145,10,33,7.08,4.33,1.66,1.7,64,43,34,57,16,3,1,0,0
139,JustinGaethje,155,11,33,7.46,7.99,0.0,0.0,59,55,0,69,22,3,MichaelChandler,155,71,35,4.49,3.87,2.03,1.6,50,49,41,71,22,6,1,0,0
140,AlexPereira,185,79,34,0.0,0.0,0.0,0.0,0,0,0,0,3,1,AndreasMichailidis,185,76,33,4.8,4.4,0.75,0.0,52,51,50,0,13,4,1,0,1
141,AlIaquinta,155,10,34,4.06,4.44,0.64,0.2,40,61,18,74,14,6,BobbyGreen,155,10,35,5.45,3.55,1.46,0.3,51,62,39,72,27,12,0,0,1
142,PhilHawes,185,77,32,3.44,3.29,2.7,0.4,58,52,38,0,11,2,ChrisCurtis,185,10,34,7.23,5.34,0.0,0.0,70,60,0,0,26,8,0,0,1
143,EdmenShahbazyan,185,74,24,3.46,4.1,2.97,0.7,49,48,40,55,11,2,NassourdineImavov,185,75,26,4.3,2.23,0.79,1.6,54,58,22,69,10,3,0,0,1
144,IanGarry,170,74,24,0.0,0.0,0.0,0.0,0,0,0,0,7,0,JordanWilliams,185,75,31,5.97,5.65,1.23,0.0,50,35,57,85,9,5,1,0,1
145,GianVillante,230,76,36,4.39,5.48,0.46,0.0,43,55,23,83,17,13,ChrisBarnett,265,75,35,4.64,8.43,0.0,0.0,38,40,0,0,21,7,0,0,1
146,DustinJacoby,205,76,33,4.32,3.36,0.35,0.0,49,58,40,58,15,5,JohnAllan,205,75,28,2.95,4.01,1.94,1.2,43,52,71,50,13,6,1,0,0
147,MelsikBaghdasaryan,145,70,29,6.69,3.76,0.0,0.0,62,52,0,66,6,1,BrunoSouza,145,10,25,0.0,0.0,0.0,0.0,0,0,0,0,10,1,1,0,0
148,CJVergara,135,68,30,4.63,4.39,0.0,0.0,50,66,0,0,9,2,OdeOsbourne,125,73,29,4.12,3.4,1.19,1.2,52,39,0,66,9,4,0,0,0
149,MaxHolloway,145,11,30,7.26,4.58,0.21,0.3,46,60,71,84,22,6,YairRodriguez,145,11,29,4.33,3.13,0.9,0.9,45,57,29,63,14,2,1,0,0
150,BenRothwell,265,78,40,3.71,4.57,0.68,0.4,42,47,35,70,39,13,MarcosRogeriodeLima,253,75,36,3.24,2.11,1.14,0.6,54,53,66,43,18,8,0,0,1
151,FeliciaSpencer,145,68,31,3.05,5.32,0.48,0.2,44,44,10,30,8,3,LeahLetson,145,71,29,4.87,3.8,0.0,0.0,40,63,0,0,5,2,-2,0,0
152,MiguelBaeza,170,74,29,5.3,5.09,0.57,0.9,49,52,40,0,10,1,KhaosWilliams,170,77,27,5.2,3.59,0.0,0.0,38,50,0,0,12,2,0,0,1
153,SongYadong,135,67,24,4.91,3.9,0.49,0.3,42,57,42,60,17,5,JulioArce,145,70,32,4.31,2.94,0.52,0.5,36,67,30,93,17,4,1,0,1
154,ThiagoMoises,155,70,26,2.49,3.81,1.03,1.2,37,58,35,60,15,5,JoelAlvarez,155,77,28,2.84,3.31,0.0,1.6,37,53,0,0,18,2,0,0,1
155,CynthiaCalvillo,125,64,34,4.24,3.76,1.77,1.1,41,65,44,71,9,3,AndreaLee,125,69,32,5.48,3.68,1.95,0.9,50,64,52,57,12,5,-2,0,0
156,SeanWoodson,145,78,29,5.27,3.94,0.0,0.6,43,57,0,81,8,1,CollinAnglin,145,71,28,5.18,4.4,2.75,0.0,54,52,80,0,8,2,1,0,1
157,CortneyCasey,125,67,34,4.33,4.19,0.28,0.6,38,52,27,38,9,9,LianaJojua,125,62,26,2.53,4.86,1.49,2.2,39,48,66,50,8,4,-2,0,0
158,MarcDiakiese,155,10,28,3.08,2.79,2.16,0.0,39,54,36,62,14,4,RafaelAlves,155,68,31,2.01,3.71,0.0,1.3,46,56,0,50,19,10,0,1,0
159,KennedyNzechukwu,205,83,29,5.0,5.03,0.0,0.0,42,48,0,80,9,1,Da-UnJung,205,78,28,3.95,3.9,2.79,0.3,45,54,61,88,14,2,0,0,1
160,KetlenVieira,135,68,30,2.66,3.84,2.19,0.5,36,53,48,92,11,2,MieshaTate,135,65,35,2.13,2.68,2.16,1.5,42,51,32,52,19,7,-2,0,0
161,MichaelChiesa,170,75,34,1.87,1.72,3.62,1.1,40,54,53,68,18,5,SeanBrady,170,10,29,4.72,3.6,2.69,1.2,55,63,60,0,14,0,0,0,0
162,RaniYahya,135,67,37,1.57,1.7,2.89,2.0,37,50,33,24,27,10,KyungHoKang,135,73,34,2.52,2.43,2.53,1.1,44,58,59,71,17,8,1,0,0
163,JoanneWood,125,65,36,6.75,4.5,1.62,0.4,50,52,55,63,15,6,TailaSantos,125,68,28,3.55,2.01,2.6,0.8,50,64,86,88,18,1,-2,0,0
164,DaveyGrant,135,69,36,4.21,3.25,2.07,0.2,47,56,46,60,13,5,AdrianYanez,135,70,28,6.13,4.8,0.0,0.0,38,55,0,0,14,3,0,0,0
165,PatSabatini,145,70,31,1.6,1.72,0.89,2.7,50,54,16,0,15,3,TuckerLutz,145,72,27,5.09,3.67,2.33,0.3,52,45,63,84,12,1,1,0,0
166,RafaGarcia,155,70,27,4.13,6.63,2.5,0.5,34,51,33,0,12,2,NatanLevy,155,71,30,1.65,0.82,2.75,2.8,60,57,0,0,6,0,1,0,0
167,LomaLookboonmee,115,61,25,5.27,3.13,1.5,0.0,58,54,37,76,6,2,LoopyGodinez,115,61,28,2.16,2.54,4.38,0.4,52,57,33,85,6,2,-2,0,0
168,TerranceMcKinney,155,10,27,1.73,0.58,4.33,0.0,57,66,33,0,11,3,FaresZiam,155,75,24,2.13,1.67,0.33,0.0,39,65,11,68,12,3,-2,0,0
169,CodyDurden,125,67,30,3.11,3.93,3.28,0.8,48,41,26,50,11,3,Aoriqileng,125,69,28,7.73,2.6,3.0,0.0,44,46,75,0,18,8,1,0,0
170,ShayilanNuerdanbieke,145,69,27,1.13,3.53,2.0,0.0,26,49,14,0,19,7,SeanSoriano,145,70,32,3.49,2.5,1.08,0.0,61,54,42,53,14,7,1,0,0
171,LuanaPinheiro,115,62,29,5.52,3.11,0.61,0.0,50,62,83,0,9,1,SamHughes,115,64,29,3.45,6.8,0.0,0.0,54,40,0,44,5,3,-2,0,0
172,RobFont,135,71,34,5.58,3.57,1.2,0.6,43,61,40,53,19,4,JoseAldo,135,70,35,3.63,3.59,0.55,0.1,45,61,56,91,30,7,0,0,0
173,BradRiddell,155,71,30,4.75,3.18,2.0,0.0,53,54,42,62,10,1,RafaelFiziev,155,71,28,5.34,5.76,0.59,0.0,52,50,50,0,10,1,0,0,1
174,JimmyCrute,205,74,25,4.26,2.71,4.97,2.1,56,50,80,60,12,2,JamahalHill,205,79,30,7.5,3.6,0.0,0.0,52,45,0,57,8,1,0,0,1
175,ClayGuida,155,70,40,2.53,2.71,3.24,0.7,34,62,38,68,36,18,LeonardoSantos,155,75,41,2.65,2.77,1.07,0.3,44,58,29,89,18,5,1,1,0
176,BrendanAllen,185,75,26,4.1,4.24,1.29,1.6,52,45,45,50,17,4,ChrisCurtis,185,10,34,6.54,6.85,0.0,0.0,67,55,0,0,27,8,0,0,1
177,AlexMorono,170,11,31,5.14,3.89,0.38,0.4,42,56,25,52,20,7,MickeyGall,170,74,29,2.6,3.68,1.32,2.4,46,44,28,36,7,3,1,0,0
178,MakiPitolo,185,10,31,4.2,3.71,2.42,0.5,44,56,52,55,13,8,DuskoTodorovic,185,74,27,5.71,5.18,0.35,0.0,54,48,5,50,10,2,0,0,1
179,ManelKape,125,68,28,3.71,4.23,0.86,0.0,47,49,28,80,16,6,ZhalgasZhumagulov,125,66,33,4.21,4.09,1.4,0.5,49,60,21,50,14,5,1,0,1
180,BryanBarberena,170,72,32,5.26,4.45,0.21,0.4,48,46,25,58,15,8,DarianWeeks,170,11,28,0.0,0.0,0.0,0.0,0,0,0,0,5,0,1,0,0
181,JakeMatthews,170,11,27,3.03,2.16,1.93,0.6,44,61,41,66,17,5,JeremiahWells,170,74,35,3.82,2.73,0.0,0.0,40,11,0,0,9,2,-2,0,0
182,CheyanneVlismas,115,63,26,4.32,1.77,0.48,0.0,54,64,33,60,6,2,MalloryMartin,115,63,27,3.99,5.53,3.37,0.5,59,58,63,25,7,4,-2,0,0
183,AlonzoMenifield,205,76,34,4.13,3.36,0.56,0.3,54,53,25,85,11,2,WilliamKnight,205,10,33,3.55,2.65,2.36,0.3,72,34,53,40,10,2,0,0,0
184,ClaudioPuelles,155,10,25,1.76,3.02,3.35,0.9,47,49,47,62,11,2,ChrisGruetzemacher,155,68,35,6.93,5.35,0.0,0.0,56,54,0,61,15,4,1,1,0
185,JaredVanderaa,265,80,29,4.5,5.24,0.4,0.0,50,39,0,20,12,6,AzamatMurzakanov,225,10,32,3.0,1.33,0.0,0.0,52,63,0,0,10,0,-2,0,0
186,LouisSmolka,135,68,30,4.44,3.74,1.84,1.9,46,53,37,31,17,7,VinceMorales,135,70,31,4.39,4.06,0.2,0.0,39,55,25,50,10,5,0,0,1
187,CharlesOliveira,155,10,32,3.26,3.01,2.64,2.7,52,53,44,57,31,8,DustinPoirier,155,72,32,5.62,4.19,1.5,1.2,50,54,36,61,28,6,1,1,0
188,AmandaNunes,135,69,33,4.5,2.45,2.5,0.9,51,57,53,84,21,4,JuliannaPena,135,69,32,2.8,1.7,2.49,0.8,47,53,53,23,11,4,-2,0,0
189,GeoffNeal,170,11,31,4.42,4.68,0.6,0.2,48,62,50,87,13,4,SantiagoPonzinibbio,170,73,35,4.65,4.38,0.46,0.0,40,63,36,60,29,4,1,0,0
190,KaiKara-France,125,69,28,5.02,3.84,0.53,0.0,39,66,23,86,22,9,CodyGarbrandt,125,65,30,3.17,4.14,1.05,0.0,38,61,32,83,12,4,1,0,1
191,RaulianPaiva,135,69,26,4.24,4.9,0.62,0.2,43,50,27,75,21,3,SeanO'Malley,135,11,27,8.25,3.59,0.63,0.6,62,65,50,60,14,1,0,0,1
192,JoshEmmett,145,70,36,4.32,4.02,1.43,0.1,39,63,47,50,16,2,DanIge,145,71,30,3.82,3.41,1.38,0.4,46,56,25,55,15,4,1,0,0
193,PedroMunhoz,135,65,35,5.55,6.02,0.62,0.7,43,57,21,80,19,6,DominickCruz,135,68,36,3.65,2.42,2.99,0.1,32,72,46,83,23,3,0,0,0
194,AugustoSakai,265,77,30,5.1,3.98,0.14,0.0,48,50,50,66,15,3,TaiTuivasa,264,75,28,4.48,3.48,0.0,0.0,50,51,0,46,13,3,0,0,1
195,JordanWright,185,77,30,7.13,7.49,0.0,0.0,60,39,0,0,12,1,BrunoSilva,185,74,32,5.13,1.96,0.0,0.0,59,37,0,68,21,6,0,0,1
196,AndreMuniz,185,78,31,2.16,1.9,3.12,2.3,58,45,40,40,21,4,ErykAnders,185,75,34,3.2,3.96,1.47,0.1,47,51,32,76,14,5,1,1,0
197,MirandaMaverick,125,65,24,4.77,2.66,1.71,0.0,43,64,80,70,11,3,ErinBlanchfield,125,66,22,8.0,2.73,3.0,0.0,57,63,0,0,7,1,-2,0,0
198,RyanHall,145,10,36,2.3,1.22,0.29,0.9,44,70,11,0,8,2,DarrickMinner,145,69,31,2.96,1.63,3.11,4.0,66,40,70,57,26,12,1,0,0
199,RandyCosta,135,73,27,8.64,6.86,0.0,0.0,46,62,0,0,6,2,TonyKelley,135,70,34,4.57,4.77,0.0,2.0,47,43,0,50,7,2,0,0,1
200,GillianRobertson,125,63,26,2.01,2.52,2.54,0.9,49,51,47,16,9,6,PriscilaCachoeira,125,65,33,3.81,7.03,0.0,0.0,40,41,0,63,10,3,-2,0,0
201,DerrickLewis,260,79,36,2.49,2.48,0.49,0.0,50,41,25,55,25,8,ChrisDaukaus,250,76,32,9.03,3.4,0.0,0.0,53,64,0,0,12,3,1,0,1
202,StephenThompson,170,75,38,4.06,2.75,0.3,0.0,43,58,45,73,16,5,BelalMuhammad,170,11,33,4.61,3.8,1.8,0.2,42,60,28,91,19,3,0,0,0
203,AmandaLemos,115,65,34,6.32,5.38,1.95,0.5,63,46,0,0,10,1,AngelaHill,115,64,36,5.71,5.25,0.54,0.1,50,63,34,77,13,10,-2,0,0
204,RaphaelAssuncao,135,66,39,3.26,2.33,1.48,0.3,40,68,38,80,27,8,RickySimon,135,69,29,3.08,3.13,6.93,0.4,42,64,54,72,18,3,0,0,1
205,DiegoFerreira,155,74,36,4.7,3.38,0.81,0.8,37,56,24,66,17,4,MateuszGamrot,155,10,31,4.1,2.09,5.35,0.7,48,64,34,0,19,1,0,0,1
206,CubSwanson,145,70,38,4.63,3.66,1.08,0.5,50,60,51,60,27,12,DarrenElkins,145,10,37,3.46,3.05,2.67,1.1,38,52,33,56,27,9,1,0,1
207,DustinStoltzfus,185,75,30,3.68,4.0,0.48,0.5,41,46,9,50,13,3,GeraldMeerschaert,185,77,34,3.41,3.75,2.58,1.8,44,52,40,43,33,14,0,1,0
208,RaoniBarcelos,135,67,34,5.39,4.36,1.79,0.6,52,66,56,92,16,2,VictorHenry,135,68,34,0.0,0.0,0.0,0.0,0,0,0,0,21,5,-2,0,0
209,JustinTafa,264,74,28,5.15,6.12,0.0,0.0,55,49,0,0,4,3,HarryHunsucker,241,75,32,4.33,8.44,0.0,0.0,51,41,0,0,7,4,1,0,1
210,SijaraEubanks,125,67,36,4.56,3.59,1.94,0.4,43,57,47,65,8,6,MelissaGatto,125,69,25,7.0,4.3,1.5,0.0,57,52,20,0,7,0,-2,0,0
211,CharlesJourdain,145,69,26,5.07,4.72,0.0,0.6,46,59,0,50,11,4,AndreEwell,145,75,33,4.35,4.3,0.27,0.1,41,53,66,70,17,8,1,0,0
212,RaquelPennington,145,67,33,3.59,3.21,1.11,0.7,49,62,28,65,12,9,MacyChiasson,145,11,30,4.16,2.17,0.98,0.5,49,46,21,64,8,1,-2,0,0
213,Don'TaleMayes,260,81,29,4.13,4.46,0.23,0.0,45,43,20,59,8,4,JoshParisian,265,79,32,6.53,6.13,0.43,0.4,50,43,14,66,14,4,1,0,1
214,JordanLeavitt,155,71,26,1.33,1.12,3.06,0.8,60,46,40,0,8,1,MattSayles,155,68,27,5.44,3.13,0.0,0.4,42,61,0,81,8,3,1,1,0
215,FrancisNgannou,250,83,36,2.54,2.04,0.2,0.4,41,45,33,72,16,3,CirylGane,245,81,32,5.37,2.4,0.71,0.3,57,62,20,0,10,0,1,0,0
216,BrandonMoreno,125,70,29,3.44,3.29,2.05,0.8,39,58,47,65,19,5,DeivesonFigueiredo,125,68,35,3.24,3.4,1.54,2.1,56,49,52,58,20,2,0,0,0
217,MichelPereira,170,73,29,4.22,3.28,2.01,0.8,55,58,62,0,26,11,AndreFialho,170,74,28,0.0,0.0,0.0,0.0,0,0,0,0,14,3,1,0,0
218,CodyStamann,145,64,33,4.03,3.36,2.8,0.0,46,63,44,75,19,4,SaidNurmagomedov,135,70,30,4.65,2.37,0.45,0.0,46,60,7,71,14,2,0,1,0
219,RodolfoVieira,185,73,33,2.6,4.04,5.77,1.4,49,57,52,0,8,1,WellingtonTurman,185,72,26,3.04,3.96,2.22,0.6,47,43,22,0,17,5,-2,0,0
220,IliaTopuria,145,69,25,2.77,1.92,3.35,3.4,48,64,55,0,11,0,CharlesJourdain,145,69,27,5.7,4.57,0.0,0.5,49,60,0,48,12,4,-2,0,0
221,RaoniBarcelos,135,67,35,5.39,4.36,1.79,0.6,52,66,56,92,16,2,VictorHenry,135,68,35,0.0,0.0,0.0,0.0,0,0,0,0,21,5,0,0,0
222,MichaelMorales,170,79,23,3.53,3.47,4.0,0.0,43,34,50,0,12,0,TrevinGiles,185,74,30,3.14,2.01,1.27,0.3,54,60,80,75,14,3,1,0,1
223,JackDellaMaddalena,170,11,26,7.2,4.27,0.0,0.0,47,65,0,75,10,2,PeteRodriguez,170,71,26,0.0,0.0,0.0,0.0,0,0,0,0,4,0,1,0,1
224,TonyGravely,135,69,31,4.14,3.27,5.57,0.6,54,46,48,50,21,7,SaimonOliveira,135,72,31,3.13,3.13,3.0,0.0,41,55,42,0,18,3,1,0,0
225,SilvanaGomezJuarez,115,65,38,0.71,2.6,0.0,0.0,23,15,0,16,10,3,VanessaDemopoulos,125,59,34,3.13,4.67,0.0,1.0,42,38,0,33,6,4,-2,0,0
226,MattFrevola,155,71,32,2.73,3.49,2.58,1.1,37,58,37,40,8,3,GenaroValdez,155,72,30,6.28,9.77,0.47,2.6,39,50,50,0,10,0,1,0,1
227,KayHansen,115,63,23,3.57,3.03,2.19,1.6,59,54,25,0,7,4,JasmineJasudavicius,125,68,33,4.67,4.33,4.0,0.0,42,50,57,0,6,1,-2,0,0
228,JackHermansson,185,77,34,4.86,3.36,2.09,0.6,45,54,36,75,22,6,SeanStrickland,185,76,31,5.45,3.73,1.32,0.3,40,66,61,82,24,3,0,0,0
229,PunaheleSoriano,185,11,30,4.44,4.2,1.58,0.0,43,54,66,0,8,1,NickMaximov,185,76,25,1.7,1.1,3.0,0.0,49,49,30,0,7,0,0,0,0
230,ShavkatRakhmonov,170,77,28,2.87,1.27,1.27,2.5,56,53,33,0,14,0,CarlstonHarris,170,76,35,5.27,1.27,0.0,2.7,49,77,0,0,17,4,1,0,1
231,SamAlvey,185,75,36,3.29,3.52,0.07,0.1,44,53,16,81,33,16,BrendanAllen,185,75,27,4.32,4.72,1.15,1.6,53,42,35,50,17,5,0,1,0
232,TreseanGore,185,75,28,0.0,0.0,0.0,0.0,0,0,0,0,4,0,BryanBattle,185,77,28,6.34,6.21,2.07,2.1,52,40,0,66,7,1,0,0,0
233,JulianErosa,145,74,33,5.55,5.9,1.45,0.9,47,50,50,58,26,10,StevenPeterson,145,10,32,4.43,5.29,1.87,0.6,37,55,30,70,19,9,1,0,0
234,MilesJohns,135,66,28,4.03,2.5,0.99,0.0,53,71,30,92,12,1,JohnCastaneda,135,71,31,4.17,5.07,0.86,0.0,49,55,25,60,18,5,0,1,0
