,fighter_1,weight_1,reach_1,age_1,slpm_1,sapm_1,td_avg_1,sub_avg_1,strk_acc_1,strk_def_1,td_acc_1,td_def_1,wins_1,losses_1,fighter_2,weight_2,reach_2,age_2,slpm_2,sapm_2,td_avg_2,sub_avg_2,strk_acc_2,strk_def_2,td_acc_2,td_def_2,wins_2,losses_2,result,SUB_OVR,KO_OVR,Fighter_1_Odds,Fighter_2_Odds
414,MattFrevola,155.0,71.0,32,3.43,3.47,2.47,1.0,41.0,59.0,37.0,42.0,9.0,3.0,OttmanAzaitar,155.0,71.0,32,8.43,1.76,0.0,0.0,57.0,67.0,0.0,0.0,13.0,0.0,1,0,1,130.0,-180.0
415,MichaelTrizano,145.0,11.0,31,3.45,4.34,0.38,0.6,52.0,49.0,66.0,71.0,10.0,3.0,SeungWooChoi,145.0,74.0,30,3.32,3.0,0.9,0.0,37.0,45.0,55.0,66.0,10.0,5.0,1,0,1,140.0,-200.0
416,JulioArce,135.0,70.0,33,4.74,3.08,0.42,0.4,37.0,69.0,27.0,94.0,18.0,5.0,MontelJackson,135.0,10.0,30,3.42,1.34,4.13,0.3,55.0,57.0,78.0,68.0,11.0,2.0,0,0,0,162.0,-210.0
417,CarlosUlberg,205.0,77.0,32,8.91,3.95,1.13,0.0,62.0,50.0,0.0,0.0,7.0,1.0,NicolaeNegumereanu,205.0,78.0,28,3.79,5.69,1.09,0.0,41.0,39.0,28.0,62.0,13.0,1.0,1,0,1,-140.0,100.0
418,KennedyNzechukwu,205.0,83.0,30,4.68,4.36,0.79,0.2,44.0,51.0,62.0,81.0,10.0,3.0,IonCutelaba,205.0,75.0,29,4.61,3.26,4.68,0.0,42.0,47.0,63.0,76.0,16.0,8.0,0,0,1,-200.0,140.0
419,ChaseSherman,250.0,78.0,33,6.51,6.51,0.0,0.0,47.0,52.0,0.0,66.0,16.0,10.0,WaldoCortes-Acosta,260.0,78.0,31,6.21,3.8,0.0,0.0,46.0,56.0,0.0,0.0,8.0,0.0,0,0,0,190.0,-255.0
420,AndreFialho,170.0,74.0,28,3.78,6.65,0.0,0.0,42.0,48.0,0.0,75.0,16.0,5.0,MuslimSalikhov,170.0,11.0,38,3.04,2.56,1.17,0.0,47.0,66.0,35.0,77.0,18.0,3.0,0,0,1,-115.0,-118.0
421,JackDellaMaddalena,170.0,11.0,26,8.24,4.68,0.0,0.0,49.0,65.0,0.0,66.0,12.0,2.0,DannyRoberts,170.0,74.0,35,3.13,3.32,0.26,0.3,41.0,51.0,11.0,57.0,18.0,6.0,1,0,1,-1430.0,440.0
422,CharlesJohnson,125.0,70.0,31,0.8,0.8,0.0,0.0,54.0,58.0,0.0,53.0,11.0,3.0,ZhalgasZhumagulov,125.0,66.0,34,3.98,4.7,1.47,0.3,43.0,56.0,18.0,50.0,14.0,7.0,1,0,0,-180.0,130.0
423,VinceMorales,135.0,70.0,32,4.42,4.51,0.16,0.0,38.0,52.0,25.0,43.0,11.0,6.0,MilesJohns,135.0,66.0,28,3.85,2.9,0.83,0.0,51.0,69.0,28.0,92.0,12.0,2.0,0,0,0,138.0,-175.0
424,RickyTurcios,135.0,71.0,29,5.27,4.02,0.67,0.0,34.0,56.0,18.0,45.0,12.0,3.0,KevinNatividad,135.0,70.0,29,2.63,4.02,0.0,0.0,24.0,54.0,0.0,0.0,9.0,3.0,1,0,0,-201.0,130.0
425,BradyHiestand,135.0,71.0,23,4.4,6.67,6.0,0.0,49.0,41.0,54.0,50.0,6.0,2.0,FernieGarcia,135.0,67.0,30,2.85,4.19,0.0,0.0,36.0,57.0,0.0,60.0,10.0,2.0,1,0,0,-200.0,143.0
426,StephenThompson,170.0,75.0,39,3.9,2.81,0.29,0.0,43.0,56.0,41.0,63.0,16.0,6.0,KevinHolland,170.0,81.0,30,3.85,2.38,0.83,0.6,54.0,55.0,43.0,50.0,23.0,8.0,1,0,1,140.0,-200.0
427,BryanBarberena,170.0,72.0,33,6.11,5.01,0.16,0.3,48.0,44.0,25.0,55.0,18.0,8.0,RafaelDosAnjos,155.0,70.0,38,3.58,3.23,1.96,0.5,46.0,61.0,34.0,59.0,31.0,14.0,0,1,0,310.0,-500.0
428,MatheusNicolau,125.0,66.0,29,3.64,3.09,1.46,1.0,52.0,67.0,42.0,93.0,18.0,3.0,MattSchnell,125.0,70.0,32,4.34,4.44,0.68,1.2,39.0,57.0,44.0,50.0,16.0,6.0,1,0,1,-410.0,300.0
429,TaiTuivasa,264.0,75.0,29,4.12,4.24,0.0,0.0,50.0,45.0,0.0,52.0,15.0,4.0,SergeiPavlovich,257.0,84.0,30,6.83,4.44,0.0,0.0,51.0,45.0,0.0,66.0,16.0,1.0,0,0,1,145.0,-220.0
430,JackHermansson,185.0,77.0,34,5.12,3.74,1.57,0.5,43.0,55.0,27.0,75.0,23.0,7.0,RomanDolidze,185.0,76.0,34,2.6,1.54,2.47,1.6,48.0,63.0,52.0,33.0,11.0,1.0,0,1,0,-230.0,160.0
431,ErykAnders,185.0,75.0,35,3.26,4.2,1.57,0.1,47.0,50.0,25.0,75.0,14.0,7.0,KyleDaukaus,185.0,76.0,29,3.05,2.56,2.36,2.1,54.0,40.0,31.0,86.0,11.0,3.0,1,0,1,175.0,-260.0
432,NikoPrice,170.0,76.0,33,5.16,5.67,0.79,0.8,42.0,47.0,22.0,65.0,15.0,5.0,PhilRowe,170.0,80.0,32,4.3,3.94,0.72,0.0,56.0,52.0,33.0,47.0,9.0,3.0,0,0,1,-139.0,-125.0
433,ClayGuida,155.0,70.0,41,2.52,2.74,3.24,0.7,34.0,62.0,37.0,68.0,37.0,19.0,ScottHoltzman,155.0,69.0,39,4.32,3.58,2.07,0.2,48.0,53.0,56.0,66.0,14.0,5.0,1,0,0,143.0,-233.0
434,MichaelJohnson,155.0,10.0,36,4.2,3.91,0.5,0.1,38.0,58.0,43.0,79.0,21.0,18.0,MarcDiakiese,155.0,10.0,29,2.63,2.33,3.68,0.0,39.0,53.0,47.0,64.0,16.0,5.0,1,0,0,220.0,-405.0
435,DarrenElkins,145.0,10.0,38,3.52,3.16,2.76,1.1,38.0,51.0,33.0,56.0,27.0,10.0,JonathanPearce,145.0,71.0,30,5.78,3.62,6.75,1.1,58.0,48.0,60.0,58.0,13.0,4.0,0,0,0,350.0,-625.0
436,MarceloRojo,145.0,71.0,34,4.9,7.07,0.57,0.0,36.0,51.0,50.0,66.0,16.0,9.0,FrancisMarshall,145.0,72.0,23,7.33,4.93,6.0,0.0,47.0,59.0,60.0,0.0,6.0,0.0,0,0,1,135.0,-200.0
437,PaddyPimblett,155.0,10.0,27,4.19,3.0,1.88,4.7,53.0,41.0,40.0,60.0,19.0,3.0,JaredGordon,155.0,68.0,34,5.53,3.11,1.97,0.0,58.0,57.0,39.0,58.0,19.0,5.0,1,0,0,-140.0,120.0
438,SantiagoPonzinibbio,170.0,73.0,36,5.0,4.77,0.56,0.0,41.0,60.0,31.0,60.0,29.0,6.0,AlexMorono,170.0,11.0,32,5.36,4.01,0.32,0.3,43.0,57.0,20.0,51.0,22.0,7.0,1,0,1,-175.0,122.0
439,DarrenTill,185.0,74.0,30,2.26,3.02,0.5,0.0,46.0,58.0,41.0,78.0,18.0,4.0,DricusDuPlessis,185.0,76.0,28,6.55,4.23,1.2,0.0,51.0,52.0,18.0,0.0,17.0,2.0,0,1,0,145.0,-220.0
440,BryceMitchell,145.0,10.0,28,2.28,1.39,3.4,1.9,63.0,59.0,52.0,33.0,15.0,1.0,IliaTopuria,145.0,69.0,25,2.87,2.28,3.15,2.6,48.0,64.0,46.0,0.0,12.0,0.0,0,1,0,130.0,-175.0
441,JairzinhoRozenstruik,242.0,78.0,34,2.8,3.24,0.0,0.0,45.0,45.0,0.0,75.0,12.0,4.0,ChrisDaukaus,250.0,76.0,33,6.47,4.02,0.0,0.0,50.0,59.0,0.0,0.0,12.0,5.0,1,0,1,-186.0,140.0
442,EdmenShahbazyan,185.0,74.0,25,3.24,4.13,2.71,0.5,50.0,46.0,37.0,57.0,11.0,3.0,DalchaLungiambula,185.0,76.0,35,3.18,3.66,2.49,0.0,44.0,53.0,55.0,77.0,11.0,5.0,1,0,1,-351.0,245.0
443,ChrisCurtis,185.0,10.0,35,6.0,6.39,0.0,0.0,58.0,52.0,0.0,0.0,29.0,9.0,JoaquinBuckley,185.0,10.0,28,3.61,3.42,1.35,0.0,32.0,54.0,30.0,66.0,15.0,5.0,1,0,1,130.0,-190.0
444,BillyQuarantillo,145.0,10.0,34,7.74,5.8,1.37,1.4,59.0,40.0,21.0,57.0,16.0,4.0,AlexanderHernandez,145.0,72.0,30,3.97,3.94,1.43,0.0,37.0,57.0,33.0,64.0,13.0,5.0,1,0,1,-185.0,138.0
445,CameronSaaiman,135.0,67.0,22,4.43,2.95,1.17,1.2,39.0,59.0,33.0,0.0,6.0,0.0,StevenKoslow,125.0,69.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1,0,1,-351.0,238.0
446,JaredCannonier,185.0,11.0,38,3.73,3.5,0.19,0.0,51.0,61.0,25.0,65.0,15.0,6.0,SeanStrickland,185.0,76.0,31,5.54,4.01,1.14,0.3,40.0,65.0,61.0,85.0,25.0,4.0,1,0,0,-125.0,-110.0
447,ArmanTsarukyan,155.0,72.0,26,3.76,1.86,2.71,0.0,45.0,54.0,33.0,75.0,18.0,3.0,DamirIsmagulov,155.0,10.0,31,4.05,2.56,1.4,0.0,42.0,63.0,28.0,90.0,24.0,1.0,1,0,0,-220.0,155.0
448,AmirAlbazi,125.0,68.0,29,3.79,3.01,3.09,1.2,42.0,55.0,62.0,66.0,15.0,1.0,AlessandroCosta,125.0,67.0,26,3.0,3.27,0.0,0.0,34.0,68.0,0.0,0.0,11.0,2.0,1,0,1,-525.0,333.0
449,AlexCaceres,145.0,10.0,34,4.15,2.92,0.58,0.8,51.0,64.0,70.0,64.0,19.0,13.0,JulianErosa,145.0,74.0,33,6.26,6.3,1.73,0.7,48.0,48.0,48.0,61.0,28.0,10.0,1,0,1,140.0,-180.0
450,DrewDober,155.0,70.0,34,4.47,4.16,0.75,0.1,40.0,51.0,17.0,54.0,25.0,11.0,BobbyGreen,155.0,10.0,36,5.88,3.65,1.34,0.3,52.0,62.0,38.0,72.0,29.0,13.0,1,0,1,-175.0,130.0
451,CodyBrundage,185.0,72.0,28,2.65,2.65,1.81,1.2,53.0,51.0,30.0,68.0,8.0,2.0,MichalOleksiejczuk,205.0,74.0,27,4.95,4.19,0.7,0.0,50.0,64.0,42.0,50.0,17.0,5.0,0,0,1,195.0,-290.0
452,RafaGarcia,155.0,70.0,28,3.26,4.75,3.87,0.4,38.0,53.0,42.0,76.0,14.0,3.0,Maheshate,155.0,71.0,23,3.45,3.39,0.0,0.0,31.0,57.0,0.0,0.0,9.0,1.0,1,0,0,-165.0,110.0
453,BryanBattle,170.0,77.0,28,7.18,4.53,1.31,0.7,56.0,41.0,22.0,55.0,9.0,1.0,RinatFakhretdinov,170.0,74.0,31,3.0,1.2,5.0,0.0,73.0,45.0,50.0,0.0,19.0,1.0,0,0,0,120.0,-160.0
454,DavidDvorak,125.0,68.0,30,3.87,3.0,0.0,0.3,43.0,61.0,0.0,81.0,20.0,4.0,ManelKape,125.0,68.0,29,4.69,4.59,0.77,0.0,53.0,51.0,28.0,80.0,17.0,6.0,0,0,0,172.0,-250.0
455,SergeyMorozov,135.0,67.0,33,3.34,3.36,2.87,0.0,48.0,57.0,26.0,64.0,18.0,5.0,JourneyNewson,135.0,67.0,33,3.26,2.62,0.96,0.5,36.0,64.0,50.0,0.0,10.0,3.0,1,0,0,-350.0,235.0
456,SeanStrickland,185.0,76.0,32,5.59,4.18,1.09,0.3,40.0,64.0,62.0,85.0,25.0,5.0,NassourdineImavov,185.0,75.0,28,4.08,2.43,0.95,2.4,54.0,62.0,23.0,76.0,12.0,3.0,1,0,0,108.0,-140.0
457,PunaheleSoriano,185.0,11.0,31,3.95,3.42,1.02,0.0,47.0,52.0,57.0,31.0,9.0,2.0,RomanKopylov,185.0,75.0,32,3.44,3.81,0.37,0.0,44.0,60.0,33.0,87.0,9.0,2.0,0,0,1,-162.0,117.0
458,UmarNurmagomedov,135.0,69.0,27,4.35,0.37,5.02,1.1,70.0,85.0,45.0,0.0,15.0,0.0,RaoniBarcelos,135.0,67.0,36,5.82,4.94,1.71,0.4,52.0,62.0,42.0,93.0,17.0,3.0,1,0,1,-1050.0,550.0
459,JavidBasharat,135.0,69.0,28,5.41,2.42,1.7,0.3,56.0,66.0,55.0,87.0,13.0,0.0,MateusMendonca,135.0,71.0,24,1.25,5.0,0.0,0.0,75.0,60.0,0.0,0.0,10.0,0.0,1,0,0,-410.0,265.0
460,ClaudioRibeiro,185.0,77.0,31,9.6,0.0,0.0,0.0,66.0,0.0,0.0,0.0,10.0,2.0,AbdulRazakAlhassan,185.0,10.0,38,3.57,4.06,1.04,0.0,48.0,56.0,45.0,52.0,11.0,5.0,0,0,1,-114.0,-120.0
461,AllanNascimento,125.0,69.0,32,3.31,2.38,1.0,0.7,61.0,50.0,20.0,16.0,19.0,6.0,CarlosHernandez,125.0,67.0,30,5.37,4.37,1.0,0.5,47.0,45.0,11.0,70.0,8.0,1.0,1,1,0,-425.0,250.0
462,CharlesJohnson,125.0,70.0,32,4.23,4.37,0.0,0.0,54.0,50.0,0.0,56.0,12.0,3.0,JimmyFlick,125.0,68.0,33,1.99,2.3,1.81,7.2,58.0,50.0,50.0,0.0,16.0,5.0,1,0,1,-375.0,250.0
463,GloverTeixeira,205.0,76.0,44,3.8,3.93,2.2,1.0,50.0,52.0,37.0,60.0,33.0,8.0,JamahalHill,205.0,79.0,32,6.46,3.51,0.0,0.0,52.0,45.0,0.0,65.0,11.0,1.0,0,0,0,100.0,-145.0
464,DeivesonFigueiredo,125.0,68.0,36,3.27,3.53,1.48,1.8,55.0,52.0,41.0,58.0,21.0,2.0,BrandonMoreno,125.0,70.0,30,3.58,3.33,1.71,0.6,39.0,57.0,44.0,68.0,20.0,6.0,0,0,1,-125.0,-150.0
465,GilbertBurns,170.0,10.0,37,3.46,3.21,2.0,0.6,48.0,54.0,34.0,47.0,20.0,5.0,NeilMagny,170.0,80.0,36,3.62,2.27,2.43,0.3,46.0,54.0,42.0,57.0,27.0,10.0,1,1,0,-600.0,275.0
466,PaulCraig,205.0,76.0,36,2.47,2.79,1.85,1.7,46.0,47.0,20.0,50.0,16.0,5.0,JohnnyWalker,205.0,82.0,31,3.26,2.64,0.43,1.3,59.0,42.0,0.0,58.0,19.0,7.0,0,0,1,145.0,-200.0
467,MauricioRua,205.0,76.0,42,3.57,2.77,2.03,0.7,50.0,54.0,48.0,48.0,27.0,13.0,IhorPotieria,205.0,75.0,27,4.58,5.89,0.0,0.0,58.0,42.0,0.0,33.0,19.0,3.0,0,0,1,163.0,-225.0
468,GregoryRodrigues,185.0,75.0,31,6.19,5.87,2.39,0.6,55.0,51.0,50.0,0.0,13.0,4.0,BrunnoFerreira,185.0,10.0,31,0.11,6.32,0.0,0.0,61.0,50.0,0.0,0.0,9.0,0.0,0,0,1,-350.0,245.0
469,ThiagoMoises,155.0,70.0,28,2.48,4.02,1.11,1.2,37.0,56.0,36.0,60.0,16.0,6.0,MelquizaelCosta,155.0,10.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,1,1,0,-460.0,300.0
470,GabrielBonfim,170.0,72.0,26,6.17,4.74,3.56,3.6,38.0,72.0,0.0,0.0,13.0,0.0,MounirLazzez,170.0,76.0,36,7.4,5.28,1.84,0.0,54.0,53.0,66.0,71.0,11.0,2.0,1,1,0,-190.0,140.0
471,ShamilAbdurakhimov,235.0,76.0,42,2.6,2.8,1.09,0.2,44.0,58.0,23.0,47.0,20.0,7.0,JailtonAlmeida,205.0,79.0,32,3.56,0.43,7.18,3.2,57.0,11.0,75.0,50.0,17.0,2.0,0,0,1,650.0,-1350.0
472,LuanLacerda,135.0,71.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,CodyStamann,135.0,64.0,34,4.19,3.39,2.76,0.0,47.0,63.0,42.0,75.0,20.0,5.0,0,0,0,250.0,-400.0
473,IsmaelBonfim,155.0,71.0,28,5.67,3.0,1.0,0.0,53.0,80.0,33.0,0.0,18.0,3.0,TerranceMcKinney,155.0,10.0,29,4.7,2.11,5.11,2.0,56.0,53.0,50.0,0.0,13.0,4.0,1,0,1,-110.0,-125.0
474,WarlleyAlves,170.0,11.0,32,3.07,3.63,1.42,1.1,48.0,51.0,52.0,78.0,15.0,5.0,NicolasDalby,170.0,11.0,39,3.22,3.22,1.22,0.1,39.0,53.0,31.0,65.0,20.0,4.0,0,0,0,-140.0,-150.0
475,SaimonOliveira,135.0,72.0,32,2.73,3.1,1.5,2.0,44.0,54.0,42.0,31.0,18.0,4.0,DanielMarcos,135.0,69.0,30,5.4,3.0,0.0,0.0,47.0,73.0,0.0,84.0,13.0,0.0,0,0,1,-150.0,100.0
476,DerrickLewis,260.0,79.0,38,2.57,2.57,0.6,0.0,50.0,41.0,28.0,55.0,26.0,10.0,SergheiSpivac,260.0,78.0,28,3.79,2.96,4.09,0.4,51.0,55.0,63.0,70.0,15.0,3.0,0,1,0,230.0,-310.0
477,MarcinTybura,249.0,78.0,38,3.61,3.38,1.42,0.1,49.0,54.0,32.0,79.0,23.0,7.0,BlagoyIvanov,250.0,11.0,37,3.44,4.21,0.9,0.1,41.0,54.0,40.0,77.0,19.0,4.0,1,0,0,-152.0,115.0
478,YusakuKinoshita,170.0,71.0,23,5.79,3.45,0.0,0.0,61.0,56.0,0.0,0.0,6.0,1.0,AdamFugitt,170.0,77.0,34,5.74,7.44,1.35,0.0,56.0,45.0,12.0,0.0,8.0,3.0,0,0,1,-360.0,250.0
479,JekaSaragih,155.0,69.0,28,3.45,1.52,2.98,1.0,50.0,58.0,0.0,0.0,13.0,2.0,AnshulJubli,155.0,69.0,28,6.47,6.67,0.0,0.0,35.0,54.0,0.0,60.0,6.0,0.0,0,0,1,-170.0,114.0
480,JeongYeongLee,145.0,10.0,28,0.77,4.62,0.0,1.5,56.0,40.0,0.0,50.0,9.0,1.0,YiZha,145.0,70.0,26,2.5,2.21,7.83,2.6,48.0,51.0,75.0,60.0,21.0,3.0,1,0,0,-265.0,180.0
481,ToshiomiKazama,135.0,69.0,26,1.67,1.47,2.0,0.0,62.0,47.0,15.0,66.0,10.0,2.0,RinyaNakamura,135.0,68.0,28,7.48,3.3,5.22,2.6,52.0,62.0,66.0,0.0,6.0,0.0,0,0,1,350.0,-625.0
482,TatsuroTaira,125.0,70.0,23,3.25,1.15,2.47,3.1,64.0,56.0,30.0,60.0,12.0,0.0,JesusAguilar,125.0,62.0,27,2.01,1.17,3.77,1.3,46.0,66.0,37.0,0.0,8.0,1.0,1,1,0,-1800.0,700.0
483,IslamMakhachev,155.0,10.0,32,2.37,0.95,3.42,1.3,59.0,66.0,65.0,88.0,23.0,1.0,AlexanderVolkanovski,145.0,71.0,35,6.79,3.53,1.71,0.2,57.0,60.0,36.0,73.0,25.0,1.0,1,0,0,-400.0,275.0
484,YairRodriguez,145.0,11.0,31,4.67,4.12,0.83,0.7,45.0,53.0,28.0,62.0,15.0,3.0,JoshEmmett,145.0,70.0,38,4.28,4.29,1.04,0.1,37.0,63.0,40.0,58.0,18.0,2.0,1,1,0,-195.0,150.0
485,JackDellaMaddalena,170.0,11.0,27,8.45,4.22,0.0,0.0,50.0,67.0,0.0,71.0,13.0,2.0,RandyBrown,170.0,78.0,33,4.38,3.25,0.69,0.6,48.0,54.0,33.0,71.0,16.0,4.0,1,1,0,-350.0,250.0
486,JustinTafa,264.0,74.0,30,5.02,5.94,0.0,0.0,55.0,49.0,0.0,0.0,5.0,3.0,ParkerPorter,265.0,75.0,38,6.49,6.32,1.45,0.5,49.0,52.0,28.0,50.0,13.0,7.0,1,0,1,-128.0,-105.0
487,TysonPedro,205.0,79.0,32,2.95,2.35,0.64,1.3,64.0,51.0,25.0,52.0,9.0,3.0,ModestasBukauskas,205.0,78.0,29,3.59,4.54,0.0,0.0,37.0,52.0,0.0,0.0,13.0,5.0,0,0,0,-250.0,175.0
488,ShannonRoss,125.0,66.0,34,7.15,8.43,0.0,0.0,38.0,54.0,0.0,0.0,13.0,6.0,KleydsonRodrigues,125.0,67.0,28,5.73,3.07,1.0,1.0,61.0,48.0,25.0,66.0,7.0,2.0,0,0,1,260.0,-400.0
489,JamieMullarkey,155.0,74.0,29,4.18,4.88,2.53,0.2,43.0,53.0,30.0,66.0,15.0,5.0,FranciscoPrado,155.0,10.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1,0,0,-333.0,210.0
490,JackJenkins,145.0,68.0,30,3.59,1.17,4.14,0.0,73.0,71.0,66.0,0.0,10.0,2.0,DonShainis,145.0,67.0,33,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,1,0,0,-500.0,310.0
491,ShaneYoung,145.0,72.0,30,5.22,5.01,0.8,0.0,40.0,55.0,23.0,56.0,13.0,6.0,BlakeBilder,145.0,68.0,33,2.78,3.71,0.0,9.3,52.0,55.0,0.0,0.0,7.0,0.0,0,0,0,-157.0,120.0
492,ZubairaTukhugov,155.0,68.0,32,2.94,2.84,2.46,0.0,39.0,65.0,43.0,0.0,20.0,5.0,ElvesBrener,155.0,10.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0,0,0,-704.0,400.0
493,JordanWright,205.0,77.0,32,5.67,7.54,3.6,0.7,65.0,32.0,50.0,0.0,12.0,4.0,ZacPauga,205.0,76.0,35,5.71,2.14,0.0,0.0,64.0,70.0,0.0,0.0,6.0,1.0,0,0,0,210.0,-295.0
494,JoshParisian,265.0,79.0,34,4.97,5.11,1.06,0.3,52.0,41.0,30.0,42.0,15.0,5.0,JamalPogues,205.0,77.0,28,3.93,4.1,3.5,0.0,47.0,54.0,53.0,0.0,9.0,3.0,0,0,0,195.0,-300.0
495,WilliamKnight,205.0,10.0,35,2.95,2.99,2.07,0.5,59.0,32.0,44.0,48.0,11.0,4.0,MarcinPrachnio,205.0,74.0,35,5.84,4.15,0.0,0.0,54.0,53.0,0.0,53.0,15.0,6.0,0,0,0,-142.0,110.0
496,NazimSadykhov,155.0,10.0,29,4.42,2.59,0.0,0.0,59.0,65.0,0.0,77.0,7.0,1.0,EvanElder,155.0,10.0,26,1.8,5.0,0.0,0.0,45.0,33.0,0.0,33.0,7.0,1.0,1,0,1,-250.0,163.0
497,JamallEmmers,145.0,10.0,34,5.73,4.44,2.76,0.4,53.0,55.0,53.0,0.0,18.0,6.0,KhuseinAskhabov,135.0,69.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1,0,0,130.0,-190.0
498,OvinceSaintPreux,205.0,80.0,40,2.72,3.09,1.15,0.5,47.0,45.0,38.0,66.0,26.0,16.0,PhilipeLins,205.0,78.0,38,3.4,4.25,1.84,0.0,49.0,43.0,36.0,0.0,15.0,5.0,0,0,1,170.0,-230.0
499,AJFletcher,170.0,10.0,26,4.04,5.34,2.31,0.9,50.0,47.0,41.0,40.0,9.0,2.0,ThembaGorimbo,170.0,77.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,1,1,0,-410.0,230.0
500,ClaytonCarpenter,125.0,66.0,27,5.27,3.4,3.0,0.0,51.0,59.0,50.0,0.0,6.0,0.0,JuancamiloRonderos,125.0,64.0,28,4.78,3.91,0.0,0.0,34.0,67.0,0.0,0.0,4.0,1.0,1,1,0,-425.0,250.0
501,AndreMuniz,185.0,78.0,33,1.91,1.45,3.71,2.1,55.0,52.0,40.0,45.0,23.0,4.0,BrendanAllen,185.0,75.0,28,3.99,4.01,1.31,1.5,55.0,44.0,44.0,50.0,20.0,5.0,0,1,0,-250.0,175.0
502,AugustoSakai,265.0,77.0,32,4.73,4.07,0.13,0.0,48.0,48.0,33.0,54.0,15.0,5.0,Don'TaleMayes,260.0,81.0,31,3.65,3.84,1.11,0.0,45.0,43.0,53.0,57.0,9.0,4.0,1,0,0,-135.0,-115.0
503,MikeMalott,170.0,73.0,32,5.02,4.19,1.55,0.8,40.0,54.0,33.0,0.0,8.0,1.0,YohanLainesse,170.0,76.0,31,2.69,3.66,1.17,0.6,43.0,60.0,28.0,88.0,9.0,1.0,1,1,0,-250.0,170.0
504,ErickGonzalez,155.0,11.0,31,3.06,6.65,2.0,0.0,43.0,41.0,33.0,33.0,14.0,7.0,TrevorPeek,155.0,70.0,28,7.09,8.53,1.97,0.0,68.0,32.0,50.0,50.0,7.0,0.0,0,0,1,160.0,-290.0
505,JordanLeavitt,155.0,71.0,28,2.43,1.88,2.43,1.2,63.0,54.0,28.0,30.0,10.0,2.0,VictorMartinez,155.0,70.0,32,9.6,7.53,1.0,0.0,52.0,55.0,50.0,75.0,13.0,4.0,1,0,1,-145.0,-115.0
506,JoeSolecki,155.0,70.0,30,2.54,1.74,2.44,1.1,56.0,50.0,47.0,50.0,12.0,3.0,CarlDeaton,155.0,69.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,1,1,0,-950.0,400.0
507,RafaelAlves,155.0,68.0,33,2.46,4.14,0.41,1.2,50.0,58.0,25.0,60.0,20.0,11.0,NurulloAliev,155.0,10.0,23,6.52,0.65,3.26,0.0,58.0,40.0,20.0,0.0,8.0,0.0,0,0,0,150.0,-200.0
508,PetrYan,135.0,67.0,30,5.31,4.03,1.86,0.2,53.0,59.0,56.0,90.0,16.0,4.0,MerabDvalishvili,135.0,68.0,32,4.21,2.31,6.54,0.3,40.0,58.0,40.0,78.0,15.0,4.0,0,0,0,-286.0,200.0
509,NikitaKrylov,205.0,77.0,31,4.45,2.5,2.11,1.2,55.0,44.0,35.0,53.0,29.0,9.0,RyanSpann,205.0,79.0,32,3.42,3.42,1.46,1.8,44.0,48.0,35.0,50.0,21.0,7.0,1,1,0,-175.0,131.0
510,SaidNurmagomedov,135.0,70.0,31,3.64,2.05,0.52,1.0,45.0,61.0,9.0,63.0,17.0,2.0,JonathanMartinez,135.0,70.0,29,4.84,3.88,0.51,0.0,49.0,58.0,45.0,70.0,17.0,4.0,0,0,0,-260.0,180.0
511,VitorPetrino,205.0,77.0,26,4.88,2.09,0.0,0.0,50.0,57.0,0.0,66.0,7.0,0.0,AntonTurkalj,205.0,78.0,27,1.13,1.85,8.48,0.0,57.0,48.0,68.0,0.0,8.0,1.0,1,0,0,-120.0,-115.0
512,KarlWilliams,205.0,79.0,33,1.6,0.07,3.0,0.0,55.0,91.0,0.0,0.0,7.0,1.0,LukaszBrzeski,236.0,78.0,31,6.86,3.78,1.04,1.0,46.0,60.0,66.0,0.0,8.0,2.0,1,0,0,-260.0,175.0
513,RaphaelAssuncao,135.0,66.0,41,3.24,2.41,1.47,0.3,41.0,67.0,38.0,78.0,28.0,9.0,DaveyGrant,135.0,69.0,38,4.83,4.02,1.6,0.1,44.0,56.0,42.0,65.0,14.0,6.0,0,1,0,110.0,-150.0
514,SedriquesDumas,185.0,79.0,28,2.55,1.28,9.15,9.1,66.0,66.0,0.0,0.0,7.0,0.0,JoshFremd,185.0,76.0,29,2.64,2.79,0.72,0.7,50.0,36.0,50.0,26.0,9.0,4.0,0,1,0,-250.0,160.0
515,MarioBautista,135.0,69.0,30,5.61,3.92,2.25,1.1,50.0,54.0,66.0,66.0,11.0,2.0,GuidoCannetti,135.0,68.0,44,3.58,2.93,2.16,0.4,55.0,51.0,52.0,70.0,10.0,7.0,1,1,0,-1200.0,600.0
