,fighter_1,weight_1,reach_1,age_1,slpm_1,sapm_1,td_avg_1,sub_avg_1,strk_acc_1,strk_def_1,td_acc_1,td_def_1,wins_1,losses_1,fighter_2,weight_2,reach_2,age_2,slpm_2,sapm_2,td_avg_2,sub_avg_2,strk_acc_2,strk_def_2,td_acc_2,td_def_2,wins_2,losses_2,result,SUB_OVR,KO_OVR,Fighter_1_Odds,Fighter_2_Odds
343,KamaruUsman,170.0,76.0,35,4.66,2.59,3.0,0.1,52.0,58.0,49.0,0.0,20.0,1.0,LeonEdwards,170.0,74.0,31,2.62,2.15,1.48,0.3,49.0,55.0,35.0,70.0,19.0,3.0,0,0,1,-375.0,275.0
344,PauloCosta,185.0,72.0,31,6.85,7.02,0.21,0.0,59.0,48.0,50.0,80.0,13.0,2.0,LukeRockhold,185.0,77.0,38,4.18,2.43,0.67,1.1,48.0,56.0,30.0,68.0,16.0,5.0,1,0,0,-400.0,260.0
345,JoseAldo,135.0,70.0,36,3.61,3.74,0.51,0.2,46.0,60.0,54.0,90.0,31.0,7.0,MerabDvalishvili,135.0,68.0,31,4.26,2.28,7.3,0.3,41.0,60.0,45.0,78.0,14.0,4.0,0,0,0,100.0,-170.0
346,TysonPedro,205.0,79.0,31,2.89,2.36,0.66,1.3,64.0,51.0,25.0,52.0,8.0,3.0,HarryHunsucker,205.0,75.0,33,3.83,6.7,0.0,2.4,52.0,42.0,0.0,0.0,7.0,5.0,1,0,1,108.0,-140.0
347,MarcinTybura,249.0,78.0,37,3.65,3.44,1.54,0.1,49.0,54.0,32.0,82.0,22.0,7.0,AlexandrRomanov,262.0,75.0,32,4.23,1.35,6.46,1.6,52.0,43.0,69.0,20.0,16.0,0.0,1,0,0,260.0,-400.0
348,AJFletcher,170.0,10.0,25,2.53,2.53,4.31,1.7,55.0,55.0,62.0,0.0,9.0,1.0,AngeLoosa,170.0,10.0,29,5.07,8.3,0.5,0.5,38.0,48.0,16.0,0.0,8.0,3.0,0,0,0,-410.0,265.0
349,AmirAlbazi,125.0,68.0,29,4.06,3.15,2.28,0.8,40.0,58.0,75.0,66.0,14.0,1.0,FranciscoFigueiredo,125.0,68.0,33,1.98,2.59,2.88,0.5,60.0,63.0,75.0,82.0,13.0,4.0,1,1,0,-114.0,-120.0
350,DanielDaSilva,125.0,70.0,26,3.4,7.36,2.12,0.0,77.0,22.0,33.0,0.0,11.0,3.0,VictorAltamirano,125.0,70.0,31,5.97,5.23,2.5,0.0,57.0,50.0,41.0,72.0,10.0,2.0,0,0,1,-425.0,250.0
351,NateDiaz,170.0,76.0,37,4.51,3.73,1.1,1.3,45.0,52.0,30.0,41.0,21.0,13.0,TonyFerguson,155.0,11.0,38,5.12,3.81,0.41,1.1,45.0,58.0,42.0,66.0,26.0,7.0,1,1,0,110.0,-160.0
352,KhamzatChimaev,170.0,75.0,28,7.89,4.3,3.23,2.7,59.0,41.0,66.0,0.0,11.0,0.0,KevinHolland,170.0,81.0,30,3.9,2.41,0.84,0.6,54.0,55.0,43.0,50.0,23.0,7.0,1,1,0,-375.0,250.0
353,LiJingliang,170.0,71.0,34,4.39,3.66,1.27,0.0,42.0,58.0,40.0,60.0,19.0,7.0,DanielRodriguez,170.0,74.0,36,8.06,5.38,0.84,0.2,50.0,57.0,55.0,76.0,16.0,2.0,0,0,0,100.0,-145.0
354,JohnnyWalker,205.0,82.0,30,3.45,2.78,0.23,0.7,58.0,42.0,0.0,62.0,18.0,7.0,IonCutelaba,205.0,75.0,29,4.81,3.39,4.75,0.0,42.0,48.0,62.0,79.0,16.0,7.0,1,1,0,-600.0,275.0
